codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR10,RODAMIENTO,ALFA ROMEO,33,90>96,Motor: 1.4 / 1.5 / 1.7 - 16V | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RCC2631,RODAMIENTO,ALFA ROMEO,33,90>96,Motor: 1.4 / 1.5 / 1.7 - 16V | Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,ALFA ROMEO,33,90>96,Motor: 1.4 / 1.5 / 1.7 - 16V | Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
RR10,RODAMIENTO,ALFA ROMEO,145,94>02,Motor: 1.4 / 1.7 / 1.8 / 2.0 16V | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RR88,RODAMIENTO,ALFA ROMEO,145,94/02,Motor: 1.4/1.7/1.8/2.0 16V | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: SI,4RR40706M,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,SI
RR10,RODAMIENTO,ALFA ROMEO,146,96>02,Motor: 1.8 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RR88,RODAMIENTO,ALFA ROMEO,146,96/02,Motor: 1.8 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: SI,4RR40706M,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,SI
RR10,RODAMIENTO,ALFA ROMEO,155,92>98,Motor: 1.7 / 1.8 / 2.0 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RR10,RODAMIENTO,ALFA ROMEO,164,91>93,Motor: 2.0 TWIN SPARK | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RR84,RODAMIENTO,ALFA ROMEO,MITO,08>,Motor: 1.4 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 35 | Ø ext: 72 | Alt: 33 | ABS: SI | Obs: MAGNETICO,XGB 40714 | BAH-0053ADX | PW35720033CSM | XGB70714P | 713606390,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,72,33,35,72,33,SI
RR88,RODAMIENTO,ALFA ROMEO,MITO,09/..,Motor: 1.4 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: SI,4RR40706M,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,SI
