codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR10,RODAMIENTO,,Aplicaciones: ALFA ROMEO 33 90>96 | ALFA ROMEO 145 94>02 | ALFA ROMEO 146 96>02 | ALFA ROMEO 155 92>98 | ALFA ROMEO 164 91>93 | FIAT BRAVA 00>03 | FIAT BRAVO | FIAT DOBLO 12> | FIAT FIORUNO 96> | FIAT IDEA 05> | FIAT LINEA | FIAT MAREA 98> | FIAT PUNTO | FIAT STRADA 99> | FIAT TEMPRA 92> | FIAT TIPO 93> | RENAULT R9 96>97 | RENAULT R19 (NACIONAL) 92>02 | RENAULT CLIO 91>00 | RENAULT CLIO II 00>12 | RENAULT CLIO MIO 13> | RENAULT EXPRESS 95> | RENAULT KANGOO 98> | RENAULT LAGUNA 93> | RENAULT LOGAN 07> | RENAULT MEGANE 97>02 | RENAULT MEGANE II 03> | RENAULT SANDERO 08> | RENAULT SCENIC 98>01 | RENAULT SYMBOL 09> | RENAULT TWINGO,GB 12807 | BAH-0094 AD | 4RR12807 | PW37720037CS | GB12807S05 | 713630030,Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,NO
RCC2631,RODAMIENTO,,Aplicaciones: ALFA ROMEO 33 90>96 | AUDI 100 90>96 | AUDI A6 95>97 | BMW 318 82> | CHEVROLET AGILE 09> | CHEVROLET CELTA 11> | CHEVROLET CHEVETTE 91>94 | CHEVROLET CLASSIC 10> | CHEVROLET CORSA 94>10 | CHEVROLET CORSA COMBO 98> | CHEVROLET IPANEMA 89>98 | CHEVROLET KADETT 89>98 | CHEVROLET MONZA 91>98 | CHEVROLET PRISMA 11>13 | CHEVROLET TIGRA 96> | CHEVROLET VECTRA | CHRYSLER / DODGE VALIANT 62>64 | DAEWOO CIELO 94>01 | DAEWOO ESPERO 92>99 | DAEWOO LANOS 97>03 | DAEWOO NUBIRA 94> | DAEWOO RACER 93>97 | FORD ESCORT 88>95 | FORD FALCON 62>63 | FORD GALAXY 92>96 | FORD RANCHERO 62>63 | FORD TAUNUS 74>85 | HYUNDAI ATOS 98>03 | HYUNDAI EXCEL 92>95 | KIA AVELA 98>01 | KIA PRIDE 92>01 | MAZDA 323 90>95 | MERCEDES BENZ 190 82>93 | MERCEDES BENZ 190 E 82>93 | MERCEDES BENZ CLASE E (124) 93> | OPEL K-180 75>84 | SEAT CORDOBA 93>00 | SEAT IBIZA 92>00 | SEAT INCA 92>00 | SEAT TOLEDO 92>00 | SUZUKI FUN 03>11 | TOYOTA COROLLA 78>83 | VOLKSWAGEN CARAT 87> | VOLKSWAGEN GACEL 83> | VOLKSWAGEN GOL 91> | VOLKSWAGEN GOL TREND 09> | VOLKSWAGEN GOLF 90>99 | VOLKSWAGEN PASSAT 90> | VOLKSWAGEN POLO 96>00 | VOLKSWAGEN QUANTUM 91>00,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,,Aplicaciones: ALFA ROMEO 33 90>96 | AUDI 100 90>96 | AUDI A4 94>01 | AUDI A6 95>97 | BMW 318 82> | CHEVROLET AGILE 09> | CHEVROLET CELTA 11> | CHEVROLET CHEVETTE 91>94 | CHEVROLET CLASSIC 10> | CHEVROLET CORSA 94>10 | CHEVROLET CORSA COMBO 98> | CHEVROLET IPANEMA 89>98 | CHEVROLET KADETT 89>98 | CHEVROLET MONZA 91>98 | CHEVROLET PRISMA 11>13 | CHEVROLET TIGRA 96> | CHEVROLET VECTRA | DAEWOO CIELO 94>01 | DAEWOO ESPERO 92>99 | DAEWOO LANOS 97>03 | DAEWOO NUBIRA 94> | DAEWOO RACER 93>97 | FORD ESCORT 88>95 | FORD GALAXY 92>96 | SEAT CORDOBA 93>00 | SEAT IBIZA 92>00 | SEAT INCA 92>00 | SEAT TOLEDO 92>00 | SUZUKI FUN 03>11 | TOYOTA COROLLA 78>83 | VOLKSWAGEN CARAT 87> | VOLKSWAGEN GACEL 83> | VOLKSWAGEN GOL 91> | VOLKSWAGEN GOL TREND 09> | VOLKSWAGEN GOLF 90>99 | VOLKSWAGEN PASSAT 90> | VOLKSWAGEN POLO 96>00 | VOLKSWAGEN QUANTUM 91>00 | VOLKSWAGEN SAVEIRO 90> | VOLKSWAGEN SENDA 89>97 | VOLKSWAGEN VOYAGE 08>,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
RR88,RODAMIENTO,,Aplicaciones: ALFA ROMEO 145 94/02 | ALFA ROMEO 146 96/02 | ALFA ROMEO MITO 09/.. | FIAT 500 08/.. | FIAT ARGO | FIAT ARGO 17/.. | FIAT BARCHETTA 95/.. | FIAT BRAVA 00/03 | FIAT CRONOS | FIAT CRONOS 17/.. | FIAT DOBLO 12/.. | FIAT FIORINO 02/.. | FIAT GRAND SIENA 12/.. | FIAT IDEA 05/.. | FIAT IDEA 10/.. | FIAT LINEA 09/.. | FIAT MAREA 98/.. | FIAT MAREA WEEKEND 98/.. | FIAT PALIO 06/.. | FIAT PALIO ADVENTURE 12/.. | FIAT PALIO WEEKEND 06/.. | FIAT PUNTO 07/.. | FIAT PUNTO 11/.. | FIAT PUNTO 08/.. | FIAT SIENA 04/.. | FIAT STRADA 99/.. | FIAT TEMPRA 92/.. | RENAULT LOGAN 07/.. | RENAULT MEGANE II 03/.. | RENAULT SANDERO 08/.. | RENAULT SANDERO STEPWAY 09/.. | RENAULT SYMBOL 09/.. | VOLKSWAGEN GOL | VOLKSWAGEN GOL TREND | VOLKSWAGEN VOYAGE,4RR40706M | XGB-40706 | BAH-0055AAX | XGB 40706 | BAH-0055 AAX,Ø int: 37 | Ø ext: 72 | Alt: 37 | ABS: SI,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,37,37,72,37,SI
RR84,RODAMIENTO,,Aplicaciones: ALFA ROMEO MITO 08> | FIAT BRAVA 99>02 | FIAT BRAVO 95>01 | FIAT FIORINO 08> | FIAT IDEA 05> | FIAT LINEA 07> | FIAT MAREA 96>02 | FIAT PUNTO 05> | FIAT QUBO 11> | FIAT STILO 02>06,XGB 40714 | BAH-0053ADX | PW35720033CSM | XGB70714P | 713606390,Ø int: 35 | Ø ext: 72 | Alt: 33 | ABS: SI,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,72,33,35,72,33,SI
RCC49,RODAMIENTO,,Aplicaciones: ASIA TOPIC 91>02 | CHEVROLET SPARK 08>11 | DACIA 1310 90> | DACIA 1410 90> | DAEWOO MATIZ 97> | KIA BESTA 92> | MAZDA B2200 90>97 | MAZDA B2500 97>03 | MAZDA B2600 92>97 | MAZDA B2900 00>04 | RENAULT R4 S 70>84 | RENAULT R6 70>84 | RENAULT R12 70>95 | RENAULT R18 81>95 | RENAULT FUEGO 84>93 | RENAULT TRAFIC 85> | SUBARU JUSTY 90>96,30205 | 30205 J2/QV | 4RR30205 | 30205M,Ø int: 25 | Ø ext: 52 | Alt: 16.25 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,25,52,16.25,25,52,16,NO
RCC64,RODAMIENTO,,Aplicaciones: ASIA TOPIC 91>02 | CHEVROLET 400 | CHEVROLET C10 63> | CHEVROLET C20 91>97 | CHEVROLET CHEVY 73> | CHEVROLET D20 91>97 | CHEVROLET LUV 4X2 92> | CHRYSLER / DODGE D200 68> | CHRYSLER / DODGE D100 60> | FORD EXPLORER 4X2 95> | FORD F100 59>73 | FORD F1000 93>99 | FORD F150 93>00 | FORD RANGER 4X2 95>01 | HYUNDAI GALLOPER 95>03 | HYUNDAI H1 97> | HYUNDAI H100 94> | I.M.E. RASTROJERO 74> | ISUZU LUV 4X2 92>06 | KIA BESTA 92> | MAZDA B2200 90>97 | MAZDA B2500 97>03 | MAZDA B2600 92>97 | MAZDA B2900 00>04 | MITSUBISHI L200 4X2 92> | MITSUBISHI L300 4X2 90>02 | NISSAN PICK-UP 92>02 | TOYOTA 4 RUNNER 90> | TOYOTA HI ACE 90>97 | TOYOTA HILUX 4X2 90>97,48548/510 | LM 48548/510/Q | 4RR48548510 | LM48548/10 | SET 5,Ø int: 34.92 | Ø ext: 65.09 | Alt: 18.034 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,34.92,65.09,18.034,34,65,18,NO
RCC2645,RODAMIENTO,,Aplicaciones: ASIA TOWNER 91>03 | CITROEN VISA 79> | PEUGEOT 504 81>00 | PEUGEOT 504 PICK UP 70>91 | PEUGEOT 505 83>97 | PEUGEOT 604 75>85 | RENAULT R5 88>92,32005 X | 32005 X/QVB015 | 4RR32005 | 32005X,Ø int: 25 | Ø ext: 47 | Alt: 15 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,EXT,25,47,15,25,47,15,NO
RCC14A,RODAMIENTO,,Aplicaciones: AUDI A4 94>01 | BMW 320 82> | CHEVROLET 400 | CHEVROLET C10 63> | CHEVROLET CHEVY 73> | CHEVROLET CORSA COMBO 98> | CHRYSLER / DODGE 1500 70> | CHRYSLER / DODGE CORONADO 69> | CHRYSLER / DODGE D100 60>68 | CHRYSLER / DODGE GTX 70> | CHRYSLER / DODGE POLARA 68> | CHRYSLER / DODGE VALIANT 65> | FIAT 125 68> | FIAT 1500 63> | FIAT 1600 69>72 | FORD EXPLORER 4X2 91> | FORD F100 59>73 | FORD FAIRLANE 69>72 | FORD FALCON 64>69 | FORD RANCHERO 64>69 | FORD RANGER 4X2 93>01 | FORD TRANSIT 96>01 | I.M.E. RASTROJERO 74> | TOYOTA CELICA 78>83 | TOYOTA CORONA 77>84 | VOLKSWAGEN 1500 82>91 | VOLKSWAGEN 1800 82>91 | VOLKSWAGEN CADDY 98> | VOLKSWAGEN KOMBI 80>,11949/910 | LM 11949/910/Q | 4RR1949 | LM11949/10 | SET 2,Ø int: 19.05 | Ø ext: 45.237 | Alt: 15.494 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,EXT,19.05,45.237,15.494,19,45,15,NO
RCC33,RODAMIENTO,,Aplicaciones: BMW 320 82> | CHEVROLET BLAZER 4X2 96>00 | CHEVROLET C10 80> | CHEVROLET CORSA COMBO 98> | CHEVROLET S10 4x2 96>00 | CHEVROLET SILVERADO 97>03 | CHRYSLER / DODGE CORONADO 69> | CHRYSLER / DODGE GTX 70> | CHRYSLER / DODGE POLARA 68> | CHRYSLER / DODGE VALIANT 65> | FIAT 125 68> | FIAT 1500 63> | FIAT 1600 69>72 | FORD EXPLORER 4X2 91>95 | FORD FAIRLANE 69>72 | FORD FALCON 64>69 | FORD RANCHERO 64>69 | FORD RANGER 4X2 93>95 | FORD TRANSIT 96>01 | MERCEDES BENZ 190 82>93 | MERCEDES BENZ 190 E 82>93 | MERCEDES BENZ CLASE E (124) 93> | TOYOTA CELICA 78>83 | TOYOTA CORONA 77>84 | VOLKSWAGEN KOMBI 80>,67048/010 | LM 67048/010/Q | 4RR67048010 | LM67048/10 | SET 6,Ø int: 31.75 | Ø ext: 59.131 | Alt: 15.875 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,31.75,59.131,15.875,31,59,15,NO
