codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,estrias_externas,estrias_internas,estrias_lado_rueda,estrias_lado_caja,longitud_semieje,longitud_cardan,longitud_punta_eje,diametro_asiento,diametro_asiento_lado_rueda,diametro_jh,diametro_junta_homocinetica,diametro_jh_deslizante,altura_jh,altura_punta_eje,diametro_circunferencia_agujeros,rosca_agujeros,diametro_rodamiento,diametro_menor,abs,posicion_seguro,seguro,lado,peso,dimensiones
ECA-AD0001,Eje Cardanico,,,,,,Longitud Cardan: 2220,,Longitud Cardan: 2220,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0001-AD-2005-02.jpg,https://www.dauer.com.ar/producto/eca-ad0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2220,,,,,,,,,,,,,,,,,,
ECA-AD0002,Eje Cardanico,,,,,,Longitud Cardan: 1440,,Longitud Cardan: 1440,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0002-AD-2008-02.jpg,https://www.dauer.com.ar/producto/eca-ad0002/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1440,,,,,,,,,,,,,,,,,,
ECA-AD0003,Eje Cardanico,,,,,,Longitud Cardan: 1558,,Longitud Cardan: 1558,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0003-AD-2014-02.jpg,https://www.dauer.com.ar/producto/eca-ad0003-cardan-trasero-audi-q7-4lb-3-0-tdi-2009/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1558,,,,,,,,,,,,,,,,,,
ECA-AD0004,Eje Cardanico,,,,,,Longitud Cardan: 1451,,Longitud Cardan: 1451,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0004-AD-2003-02.jpg,https://www.dauer.com.ar/producto/eca-ad0004/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1451,,,,,,,,,,,,,,,,,,
ECA-AD0005,Eje Cardanico,,,,,,Longitud Cardan: 1656,,Longitud Cardan: 1656,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0005-AD-2015-02.jpg,https://www.dauer.com.ar/producto/eca-ad0005/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1656,,,,,,,,,,,,,,,,,,
ECA-AD0006,Eje Cardanico,,,,,,Longitud Cardan: 1498,,Longitud Cardan: 1498,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0006-AD-2016-02.jpg,https://www.dauer.com.ar/producto/eca-ad0006/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1498,,,,,,,,,,,,,,,,,,
ECA-AD0007,Eje Cardanico,,,,,,Longitud Cardan: 2140,,Longitud Cardan: 2140,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0007-AD-2006-02.jpg,https://www.dauer.com.ar/producto/eca-ad0007/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2140,,,,,,,,,,,,,,,,,,
ECA-AD0008,Eje Cardanico,,,,,,Longitud Cardan: 1514,,Longitud Cardan: 1514,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-AD0008-AD-2001-02.jpg,https://www.dauer.com.ar/producto/eca-ad0008/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1514,,,,,,,,,,,,,,,,,,
ECA-BM0001,Eje Cardanico,,,,,,Longitud Cardan: 1430,,Longitud Cardan: 1430,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0001-BM-2003-02.jpg,https://www.dauer.com.ar/producto/eca-bm0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1430,,,,,,,,,,,,,,,,,,
ECA-BM0002,Eje Cardanico,,,,,,Longitud Cardan: 15135,,Longitud Cardan: 15135,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0002-BM-2036-02.jpg,https://www.dauer.com.ar/producto/eca-bm0002/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,15135,,,,,,,,,,,,,,,,,,
ECA-BM0003,Eje Cardanico,,,,,,Longitud Cardan: 1383,,Longitud Cardan: 1383,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0003-BM-2008-02.jpg,https://www.dauer.com.ar/producto/eca-bm0003/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1383,,,,,,,,,,,,,,,,,,
ECA-BM0004,Eje Cardanico,,,,,,Longitud Cardan: 12615,,Longitud Cardan: 12615,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0004-BM-2030-02.jpg,https://www.dauer.com.ar/producto/eca-bm0004/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,12615,,,,,,,,,,,,,,,,,,
ECA-BM0005,Eje Cardanico,,,,,,Longitud Cardan: 1403,,Longitud Cardan: 1403,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0005-BM-2002-02.jpg,https://www.dauer.com.ar/producto/eca-bm0005/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1403,,,,,,,,,,,,,,,,,,
