fuente,codigo,producto,familia,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,posicion,abs
DAYCO,7718,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/7718.jpg,https://www.dayco.com/la-es/catalog/?search=7718,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,APV2882,Tensor auxiliar,TENSOR,,,2RP903157 (FORD),,https://webcateu.dayco.ws/img/products/APV2882.jpg,https://www.dayco.com/la-es/catalog/?search=APV2882,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,900072,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/900072.jpg,https://www.dayco.com/la-es/catalog/?search=900072,Refrigeración,HOSE,,,
DAYCO,10A1240HD,Correa de transmisión,CORREA DE TRANSMISIÓN,,,,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=10A1240HD,Transmisión,RAW-EDGE(V),,,
DAYCO,8PK1443HD,Correa Poly-V,CORREA POLY-V,,,,,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK1443HD,Auxiliar,POLY-V,,,
DAYCO,71221,Manguera,MANGUERA,,,026121053A (VOLKSWAGEN),,https://webcateu.dayco.ws/img/products/71221.jpg,https://www.dayco.com/la-es/catalog/?search=71221,Refrigeración,COOLING HOSE,,,
DAYCO,11A1180C,Correa de transmisión,CORREA DE TRANSMISIÓN,,,,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=11A1180C,Transmisión,RAW-EDGE(V),,,
DAYCO,13A1020C,Correa de transmisión,CORREA DE TRANSMISIÓN,,,,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1020C,Transmisión,RAW-EDGE(V),,,
DAYCO,10A1175C,Correa de transmisión,CORREA DE TRANSMISIÓN,,,0029975092 (MERCEDES-BENZ) | 0029978092 (MERCEDES-BENZ) | 0039979592 (MERCEDES-BENZ) | 007753009514 (MERCEDES-BENZ) | 070903137 (VOLKSWAGEN) | 1238517 (DODGE) | 13H7104 (ROVER) | 1502949 (FORD) | 1629875 (FORD) | 1737925 (BMW) | 5029455 (FORD) | 5136711270 (ISUZU) | 5136711280 (ISUZU) | 5414629 (PEUGEOT) | 5414629N (PEUGEOT) | 574934 (PEUGEOT) | 575004 (PEUGEOT) | 575019 (PEUGEOT) | 575054 (PEUGEOT) | 6000583845 (DACIA) | 70TN6620AA (FORD) | 70TN8620AA (FORD) | 715F8620AEA (FORD) | 723F8620AEA (FORD) | 723F8820AEA (FORD) | 7700697947 (RENAULT) | 7700697974 (RENAULT) | 7700731789 (RENAULT) | 7701010887 (RENAULT) | 7701029702 (RENAULT) | 7701029708 (RENAULT) | 800722 (FORD) | 82310543 (FIAT) | 85HF6G301BB (FORD) | 9091602152 (TOYOTA) | 9091602334 (TOYOTA) | 9091602408 (TOYOTA) | 9091602497 (TOYOTA) | 930X8620DA (FORD) | 9361791 (SAAB) | 958317 (VOLVO) | 95X1175LA (FORD) | 966383 (VOLVO) | 968326 (VOLVO) | 976488 (VOLVO) | 976489 (VOLVO) | 976532 (VOLVO) | A0029978092 (MERCEDES-BENZ) | A007753009514 (MERCEDES-BENZ),,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=10A1175C,Transmisión,RAW-EDGE(V),,,
DAYCO,KTC1604,Kit cadena de distribución,KIT DISTRIBUCION,,,,,https://webcateu.dayco.ws/img/products/KTC1604.jpg,https://www.dayco.com/la-es/catalog/?search=KTC1604,Principal,CHAIN KIT,,,
