fuente,codigo,producto,familia,marca,modelo,anio,info,oem,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,motor,kw,hp,posicion,abs,ficha_oem,ficha_info
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2005 -> 2008,Versión: 1.6 | Motor: AVU/BSF | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AVU/BSF,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.6 | Motor: AVU/BSF | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2006 -> 2008,Versión: 1.6 | Motor: AVU/BSF | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AVU/BSF,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.6 | Motor: AVU/BSF | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2008 -> 2015,Versión: 1.6 | Motor: AVU/BSF/BSE | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AVU/BSF/BSE,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.6 | Motor: AVU/BSF/BSE | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,1997 -> 2001,Versión: 1.9 TDI | Motor: ALH | Combustible: DIESEL | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,ALH,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.9 TDI | Motor: ALH | Combustible: DIESEL | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2000 -> 2001,Versión: 1.8 | Motor: AGN | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AGN,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.8 | Motor: AGN | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2000 -> 2004,Versión: 1.6 | Motor: AKL | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AKL,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.6 | Motor: AKL | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2000 -> 2005,Versión: 1.8 T | Motor: AUM | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,AUM,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.8 T | Motor: AUM | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2000 -> 2004,Versión: 1.8 T (180 CV) | Motor: APP | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,APP,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.8 T (180 CV) | Motor: APP | Combustible: NAFTA | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,2000 -> 2005,Versión: 1.9 TDI | Motor: ASV | Combustible: DIESEL | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,ASV,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.9 TDI | Motor: ASV | Combustible: DIESEL | Ubicación: TRASERO
DAYCO,KWD1013,Rodamiento de rueda,RODAMIENTO,AUDI,A3,1997 -> 2001,Versión: 1.8 | Motor: APG | Combustible: NAFTA | SKF I: VKBA 3456 | SKF II: BAF-4104 BBX | Ubicación: TRASERO,VKBA 3456 | BAF-4104 BBX,,https://www.dayco.com/la-es/catalog/?search=KWD1013,Rueda,WHEEL BEARING KIT,,APG,,,TRASERO,,VKBA 3456 | BAF-4104 BBX,Versión: 1.8 | Motor: APG | Combustible: NAFTA | Ubicación: TRASERO
