codigo,fuente,marca,modelo,version_motor,producto,familia,posicion,lado,oem,descripcion,info_original,anio,imagen_producto,url_ficha,pagina_pdf,proveedor
40075,GACRI,CHEVROLET,$10 $10 2.8 MOTOR MWM 510 MOTOR 2.4 L,$10 $10 2.8 MOTOR MWM 510 MOTOR 2.4 L,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DERECHO,94708478 | 93285506 | 52037204,SOPORTE DE AMORTIGUADOR SOPORTE DE MOTOR AMBOS LADOS SOPORTE DE MOTOR DERECHO,40075 $10 $10 2.8 MOTOR MWM 510 MOTOR 2.4 L ORIGINAL: 94708478 ORIGINAL: 93285506 ORIGINAL: 52037204 SOPORTE DE AMORTIGUADOR SOPORTE DE MOTOR AMBOS LADOS SOPORTE DE MOTOR DERECHO CÓDIGO:,,,,10,GACRI
40082,GACRI,CHEVROLET,$10 MOTOR 3.6 L,$10 MOTOR 3.6 L,,,MOTOR,,52037207,40082 $10 MOTOR 3.6 L ORIGINAL: 52037207 CÓDIGO:,40082 $10 MOTOR 3.6 L ORIGINAL: 52037207 CÓDIGO:,,,,11,GACRI
40025,GACRI,CHEVROLET,180,OPEL K- - CHEVETTE,,,,,8984651 FUELLE CREMALLERA,40025 OPEL K-180 - CHEVETTE ORIGINAL: 8984651 FUELLE CREMALLERA CÓDIGO:,40025 OPEL K-180 - CHEVETTE ORIGINAL: 8984651 FUELLE CREMALLERA CÓDIGO:,,,,6,GACRI
40070,GACRI,CHEVROLET,AGILE,CORSA,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,IZQUIERDO,90538063,SOPORTE DE MOTOR IZQUIERDO,40070 CORSA - AGILE ORIGINAL: 90538063 SOPORTE DE MOTOR IZQUIERDO CÓDIGO:,,,,9,GACRI
40044,GACRI,CHEVROLET,ASTRA,HIDRAULICO - ZAFIRA 2.0,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,IZQUIERDO,90576062,SOPORTE DE MOTOR HIDRÁULICO IZQUIERDO,40044 HIDRAULICO ASTRA - ZAFIRA 2.0 ORIGINAL: 90576062 SOPORTE DE MOTOR HIDRÁULICO IZQUIERDO CÓDIGO:,,,,8,GACRI
40045,GACRI,CHEVROLET,ASTRA,NO HIDRAULICO - ZAFIRA 2.0,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,IZQUIERDO,90576062,SOPORTE DE MOTOR NO HIDRÁULICO IZQUIERDO,40045 NO HIDRAULICO ASTRA - ZAFIRA 2.0 ORIGINAL: 90576062 SOPORTE DE MOTOR NO HIDRÁULICO IZQUIERDO CÓDIGO:,,,,8,GACRI
40055,GACRI,CHEVROLET,ASTRA,MERIVA 98,BUJE BARRA ESTABILIZADORA,BUJE BARRA ESTABILIZADORA,BARRA ESTABILIZADORA,,90538865,"BUJE BARRA ESTABILIZADORA 17,5 MM","40055 ASTRA - MERIVA 98 ORIGINAL: 90538865 BUJE BARRA ESTABILIZADORA 17,5 MM CÓDIGO:",,,,9,GACRI
40062,GACRI,CHEVROLET,ASTRA,2.0 16V - ZAFIRA,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DELANTERO,90575190,SOPORTE MOTOR DELANTERO,40062 ASTRA 2.0 16V - ZAFIRA ORIGINAL: 90575190 SOPORTE MOTOR DELANTERO CÓDIGO:,,,,8,GACRI
40063,GACRI,CHEVROLET,ASTRA,99,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DELANTERO,90576048,SOPORTE MOTOR DELANTERO 05,40063 ASTRA 99 ORIGINAL: 90576048 SOPORTE MOTOR DELANTERO 05,,,,8,GACRI
40064,GACRI,CHEVROLET,ASTRA,2.0 - ZAFIRA,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DERECHO,90576049,"SOPORTE DE MOTOR LADO DERECHO —MMMMMMMM¿M¿M¿M¿X¿X«A+44,","40064 ASTRA 2.0 - ZAFIRA ORIGINAL: 90576049 SOPORTE DE MOTOR LADO DERECHO —MMMMMMMM¿M¿M¿M¿X¿X«A+44, CÓDIGO:",,,,9,GACRI
40065,GACRI,CHEVROLET,ASTRA,MERIVA - ZAFIRA,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,,90575186,SOPORTE DE MOTOR,40065 ASTRA - MERIVA - ZAFIRA ORIGINAL: 90575186 SOPORTE DE MOTOR CÓDIGO:,,,,9,GACRI
40067,GACRI,CHEVROLET,ASTRA,ZAFIRA,SOPORTE,SOPORTE,,DELANTERO,90575192,SOPORTE DELANTERO FRONTAL A],40067 ASTRA - ZAFIRA ORIGINAL: 90575192 SOPORTE DELANTERO FRONTAL A] CÓDIGO:,,,,9,GACRI
40087,GACRI,CHEVROLET,ASTRA,ZAFIRA - CORSA L E A AFA VECTRA,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,IZQUIERDO / TRASERO,90538576 | 90538582 | 90495514,SOPORTE DE MOTOR LADO IZQUIERDO SOPORTE TRASERO DE MOTOR SOPORTE DE MOTOR TRASERO EY,40087 ASTRA - ZAFIRA - CORSA L E A AFA VECTRA ORIGINAL: 90538576 ORIGINAL: 90538582 ORIGINAL: 90495514 SOPORTE DE MOTOR LADO IZQUIERDO SOPORTE TRASERO DE MOTOR SOPORTE DE MOTOR TRASERO EY CÓDIGO:,,,,10,GACRI
40068,GACRI,CHEVROLET,AVEO,,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DERECHO,96535431,SOPORTE DE MOTOR DERECHO,40068 AVEO ORIGINAL: 96535431 SOPORTE DE MOTOR DERECHO CÓDIGO:,,,,9,GACRI
40069,GACRI,CHEVROLET,AVEO,,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,IZQUIERDO,96535499,SOPORTE DE MOTOR IZQUIERDO,40069 AVEO ORIGINAL: 96535499 SOPORTE DE MOTOR IZQUIERDO CÓDIGO:,,,,9,GACRI
40071,GACRI,CHEVROLET,AVEO,,SOPORTE,SOPORTE,AMORTIGUADOR,,96653239,SOPORTE DE AMORTIGUADOR,40071 AVEO ORIGINAL: 96653239 SOPORTE DE AMORTIGUADOR CÓDIGO:,,,,9,GACRI
40072,GACRI,CHEVROLET,AVEO,G3,SOPORTE AMORTIGUADOR,SOPORTE AMORTIGUADOR,AMORTIGUADOR,,95015324,SOPORTE AMORTIGUADOR,40072 AVEO G3 ORIGINAL: 95015324 SOPORTE AMORTIGUADOR CÓDIGO:,,,,9,GACRI
40083,GACRI,CHEVROLET,AVEO,,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,TRASERO,96535410,SOPORTE DE MOTOR TRASERO,40083 AVEO ORIGINAL: 96535410 SOPORTE DE MOTOR TRASERO,,,,9,GACRI
40030,GACRI,CHEVROLET,CELTA,CORSA - - SUZUKI FUN,SOPORTE MOTOR,SOPORTE MOTOR,MOTOR,DERECHO,684294,SOPORTE DE MOTOR DERECHO,40030 CORSA - CELTA - SUZUKI FUN ORIGINAL: 684294 SOPORTE DE MOTOR DERECHO CÓDIGO:,,,,6,GACRI
40025,GACRI,CHEVROLET,CHEVETTE,OPEL K-180,,,,,8984651 FUELLE CREMALLERA,40025 OPEL K-180 - CHEVETTE ORIGINAL: 8984651 FUELLE CREMALLERA CÓDIGO:,40025 OPEL K-180 - CHEVETTE ORIGINAL: 8984651 FUELLE CREMALLERA CÓDIGO:,,,,6,GACRI
