codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10001,FUELLE,TOYOTA,HILUX,02>,FUELLE TRANSMISIÓN TOYOTA HILUX - SW4 (02…),044270KO10,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/TRANSMISION_10001-escala-reducida-2.jpg,https://serratsrl.com.ar/producto/codigos-10001/,SERRAT,Código: 10001,TRANSMISIÓN,31,105,130,RUEDA,IZQ/DER,31 x 105 x 130
10002,FUELLE,TOYOTA,HILUX,02>15,FUELLE TRANSMISIÓN TOYOTA HILUX - SW4 (02-15) - | (CON LOBULOS),044270KO10-1,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10002-1-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10002/,SERRAT,Código: 10002,TRANSMISIÓN,28,97,98,CAJA,IZQ/DER,28 x 97 x 98
10003,FUELLE,TOYOTA,COROLLA,02>,FUELLE TRANSMISIÓN TOYOTA COROLLA (02…),443802260,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10003-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10003/,SERRAT,Código: 10003,TRANSMISIÓN,27,89,113,RUEDA,IZQ/DER,27 x 89 x 113
10004,FUELLE,CITROËN / FIAT / SEAT / TOYOTA / VOLKSWAGEN,500 / ARGO / BORA / C4 / C5 / CORDOBA / COROLLA / CRONOS / GOLF / IBIZA / INCA / PASSAT / SIENA / STRADA / TIGUAN / VENTO,02>09,FUELLE TRANSMISIÓN CITROEN C4 (07…) - C5 (02-09) / FIAT STRADA (99…) - SIENA (97…) - 500 (12…) - ARGO (17…) - CRONOS (18…) / TOYOTA COROLLA (02…) / VW. BORA (00-14) - VENTO (06…) - TIGUAN 2.0 TDI - TSI (08…) - GOLF (00….) - PASSAST (95…) / SEAT CORDOBA (95-10) - IBIZA (95-10) - INCA (98-13) - | (CON LOBULOS),0443802260-1 / 7M3499201D / 10091827,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10004-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10004/,SERRAT,Código: 10004,TRANSMISIÓN,25,83,95,CAJA,IZQ/DER,25 x 83 x 95
10005,FUELLE,TOYOTA,4RUNNER / HILUX,98>02,FUELLE TRANSMISIÓN TOYOTA HILUX SW4 (98-02) - 4RUNNER (96...),04438-0W060,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10005-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10005/,SERRAT,Código: 10005,TRANSMISIÓN,28,93,137,RUEDA,IZQ/DER,28 x 93 x 137
10006,FUELLE,TOYOTA,HILUX,98>02,FUELLE TRANSMISIÓN TOYOTA HILUX SW4 (98-02),04438-0W060-1,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10006-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10006/,SERRAT,Código: 10006,TRANSMISIÓN,29,96,112,CAJA,IZQ/DER,29 x 96 x 112
10007,FUELLE,HONDA / HYUNDAI / KIA / MITSUBISHI,ACCORD / CIVIC / L200 / PRELUDE / SANTA FE / SPORTAGE / TUCSON,93>99,FUELLE TRANSMISIÓN HONDA CIVIC (93-99) - ACCORD (93-02) - PRELUDE (93-99) / KIA SPORTAGE / MITSUBISHI L200 / HYUNDAI SANTA FE (01…) -TUCSON (05…),44018550N01 / 17126BJ95 / MB160657 / 495062-PA20,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10007-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10007/,SERRAT,Código: 10007,TRANSMISIÓN,25,85,100,RUEDA,IZQ/DER,25 x 85 x 100
10008,FUELLE,HONDA / NISSAN,ACCORD / CIVIC / FRONTIER / PRELUDE,93>99,FUELLE TRANSMISIÓN HONDA CIVIC (93-99) - ACCORD (93-02) - PRELUDE (93-99) / NISSAN FRONTIER (15…),44017550020,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10008-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10008/,SERRAT,Código: 10008,TRANSMISIÓN,22,78,85,CAJA,IZQ/DER,22 x 78 x 85
10009,FUELLE,CHEVROLET / HONDA,CAPTIVA / CITY / CIVIC / COBALT / CRUZE / FIT / NEW CIVIC / NEW FIT / ONIX / PRISMA / SONIC / SPIN / TRACKER,00>05,FUELLE TRANSMISIÓN HONDA CITY (09…) - CIVIC (00-05) - NEW CIVIC (06...) - FIT (03-09) - NEW FIT (10…) / CHEVROLET COBALT (13…) - ONIX (13…) - PRISMA (11…) - SONIC (12…) - SPIN (12…) - CRUZE ( 10…) - TRACKER (13…) - CAPTIVA (96),44015TJ0M1 / 94760589 / 26138989,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10009-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10009/,SERRAT,Código: 10009,TRANSMISIÓN,25,80,115,RUEDA,IZQ/DER,25 x 80 x 115
10010,FUELLE,HONDA / VOLKSWAGEN,BORA / FIT / GOLF / PASSAT / VENTO,03>09,FUELLE TRANSMISIÓN HONDA FIT (03-09) / VW. BORA (00-14) - VENTO (06…) - GOLF (00….) - PASSAT (95...) - | (CON LOBULOS),44017SSA000,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10010-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10010/,SERRAT,Código: 10010,TRANSMISIÓN,22,76,95,CAJA,IZQ/DER,22 x 76 x 95
10011,FUELLE,CITROËN / FIAT / HONDA / PEUGEOT,2008 / 206 / 207 / 208 / 301 / BERLINGO / C-ELYSSE / C3 / CIVIC / NEW CIVIC / PARTNER / TORO,00>05,FUELLE TRANSMISIÓN HONDA CIVIC (00-05) NEW CIVIC (06...) / CITROEN BERLINGO (98…) - C3 ( 03…) - C-ELYSSE (16…) / PEUGEOT 206 (99-13) - 207 (08…) - 208 (13…) - 301 (16…) - 2008 (16...) - PARTNER (98…) -FIAT TORO 1.8 (A/T) | - (CON LOBULOS),328788 / 44017-SNE-A21,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10011-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10011/,SERRAT,Codigo: 10011,TRANSMISIÓN,22,76,95,CAJA,IZQ/DER,22 x 76 x 95
10012,FUELLE,CITROËN / FIAT / PEUGEOT,2008 / 206 / 207 / 208 / 3008 / 307 / 308 / 407 / 408 / C4 / C5 / DUCATO,02>09,FUELLE TRANSMISIÓN CITROEN C4 (07…) - C5 (02-09) / FIAT DUCATO (99…) / PEUGEOT 207 (08…) -206 (99-13) - 208 (16…) -307 (01-12) - 308 (09…) - 407 (05-11) - 2008 (16…) - 3008 (10…) - 408 (10..) - | (CON LOBULOS),3287-A9,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/20012-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10012/,SERRAT,Codigo: 10012,TRANSMISIÓN,35,81,193,CAJA,IZQ/DER,35 x 81 x 193
10013,FUELLE,CHEVROLET,AVEO,08>,FUELLE TRANSMISIÓN CHEVROLET AVEO (08…) - | (CON LOBULOS),96489854,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10013-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10013/,SERRAT,Codigo: 10013,TRANSMISIÓN,23,86,105,CAJA,IZQ/DER,23 x 86 x 105
10014,FUELLE,CHEVROLET,SPARK,08>,FUELLE TRANSMISIÓN CHEVROLET SPARK (08…) - | (CON LOBULOS),96396138,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10014-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10014/,SERRAT,Codigo: 10014,TRANSMISIÓN,19,64,90,CAJA,IZQ/DER,19 x 64 x 90
