codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,titulo_ficha,url_busqueda,url_ficha,codigo_buscado,product_id,ficha_anio,imagenes_posibles,imagen_producto
30001,PRECAP,JEEP,CHEROKEE SPORT,02>…,AMBOS LADOS,52128517AA,RLC 24X1.5 LT 299mm,52128517AA,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30001,https://tiper.com.ar/web/product-info.php?brand=238&model=237&product=875,30001,,02>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562609543-56167.png,https://tiper.com.ar/web/uploads/productos/1562609543-56167.png
30002,PRECAP,JEEP,GRAND CHEROKEE,06>10.,AMBOS LADOS,Moog EV 80782,RLC 16X1.5 LT 305mm,Moog EV 80782,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30002,https://tiper.com.ar/web/product-info.php?brand=239&model=237&product=876,30002,,06>10.,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562610856-64021.png,https://tiper.com.ar/web/uploads/productos/1562610856-64021.png
30003,PRECAP,JEEP,GRAND CHEROKEE,11>…,AMBOS LADOS,68105872AA,RLC 14X1.5 LT 310mm,68105872AA,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30003,https://tiper.com.ar/web/product-info.php?brand=239&model=237&product=877,30003,,11>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562610905-14066.png,https://tiper.com.ar/web/uploads/productos/1562610905-14066.png
30003,PRECAP,JEEP,COMPASS,07>16,AMBOS LADOS,68019642AA,RLC 14X1.5 LT 310mm,68019642AA,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30003,https://tiper.com.ar/web/product-info.php?brand=240&model=237&product=878,30003,,07>16,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562612043-86503.png,https://tiper.com.ar/web/uploads/productos/1562612043-86503.png
30003,PRECAP,JEEP,PATRIOT,09>…,AMBOS LADOS,68019642AA,RLC 14X1.5 LT 310mm,68019642AA,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30003,https://tiper.com.ar/web/product-info.php?brand=241&model=237&product=883,30003,,09>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562612282-70742.png,https://tiper.com.ar/web/uploads/productos/1562612282-70742.png
30003,PRECAP,JEEP,CHEROKEE SPORT,06>10,AMBOS LADOS,-,RLC 14X1.5 LT 310mm,-,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30003,https://tiper.com.ar/web/product-info.php?brand=238&model=237&product=2120,30003,,06>10,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562610742-80183.png,https://tiper.com.ar/web/uploads/productos/1562610742-80183.png
30004,PRECAP,JEEP,RENEGADE,15>…,AMBOS LADOS,51967456,RLC 14X1.5 LT 315mm,51967456,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30004,https://tiper.com.ar/web/product-info.php?brand=466&model=237&product=1965,30004,,15>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1619616515-67889.jpg,https://tiper.com.ar/web/uploads/productos/1619616515-67889.jpg
30004,PRECAP,JEEP,COMPASS,17>…,AMBOS LADOS,51967456,RLC 14X1.5 LT 315mm,51967456,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30004,https://tiper.com.ar/web/product-info.php?brand=240&model=237&product=1962,30004,,17>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562612067-18622.png,https://tiper.com.ar/web/uploads/productos/1562612067-18622.png
30005,PRECAP,JEEP,GRAND CHEROKEE,11>…,AMBOS LADOS,68105872AA,RLC 16X1.5 LT 238mm,68105872AA,AMBOS LADOS,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30005,https://tiper.com.ar/web/product-info.php?brand=239&model=237&product=2164,30005,,11>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562610930-80197.png,https://tiper.com.ar/web/uploads/productos/1562610930-80197.png
30030,EXTREMO DE DIRECCION,JEEP,COMPASS,17>…,DER,77 3666 99,R 14x1.5 L 135mm,77 3666 99,DER,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=30030,https://tiper.com.ar/web/product-info.php?brand=240&model=237&product=2072,30030,,17>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1562611996-56113.png,https://tiper.com.ar/web/uploads/productos/1562611996-56113.png
